id,ip_address,city,country,Times login,job_title,Age,Time_since_registration,Purchases_last_month,Unique_person_ID,IS_VIP_Client
10,180.144.176.29,Kavarna,BG,3,Desktop Support Technician,75,2,3020,5fc08116-03ee-419a-b45e-75654bf0ce77,1
314,117.108.23.166,Petrich,BG,1,Analog Circuit Design manager,28,16,1639,3309b84d-cf31-4312-8864-5ed34da0176d,0
148,113.109.214.202,Mineralni Bani,BG,1,Nurse Practicioner,69,28,2951,15c02fbe-8102-4d98-8de1-5cb175f1bbc3,0
757,42.238.54.12,Dobrich,BG,2,Paralegal,32,39,43,ef7e4e51-6bd9-4a50-9acc-9998fa5efe7b,0
653,255.37.13.229,Rila,BG,1,Senior Cost Accountant,67,54,2510,d8494e4d-c1a3-4ff5-ace9-982ffaab71c9,0
239,175.146.10.108,Bolyarovo,BG,6,Health Coach II,63,68,759,ec919b3c-197d-4e9a-bee9-cf4c5cecaa89,0
424,75.108.206.75,Ar Rifā‘,BH,1,Dental Hygienist,75,48,2268,907e2061-6256-44fe-9f7e-ac04991a8ecf,1
993,158.166.37.142,Bururi,BI,1,Engineer IV,67,46,729,e0f82139-da1e-4491-ad09-a6c3429ccb3d,0
474,101.175.208.210,Kuala Belait,BN,5,Safety Technician IV,30,38,984,00fb34fa-a1e9-4321-808c-b3d5660999c3,0
52,25.201.58.104,Cliza,BO,3,Physical Therapy Assistant,62,26,3663,71930516-a246-4b12-bcfe-034895c0797e,0
779,158.102.249.217,Rosario del Ingre,BO,4,Administrative Assistant IV,37,68,1561,aaa9495b-fc91-406a-bc95-a6e4ba96b4a7,0
550,32.252.233.121,Barra Mansa,BR,1,Legal Assistant,52,2,710,91b6c55e-c695-4c80-ba53-7c68f62946e7,1
355,221.32.73.130,Riolândia,BR,3,Safety Technician II,69,3,2605,81fe2a7b-d2e2-4287-adaf-89c8b91ddb75,1
307,86.42.183.240,Santo Amaro,BR,1,Senior Quality Engineer,26,8,4487,dff53f63-7bb3-400b-acaa-4493cfa22730,1
911,183.220.186.50,Bebedouro,BR,2,Operator,27,8,2776,2c3a6da7-6af9-46d3-832a-d86ddc15a5db,1
861,155.1.229.175,Três Passos,BR,5,Structural Analysis Engineer,19,9,123,bb6211c6-327b-466d-a48a-69e67b8a3a72,1
872,239.246.110.131,Igarapé Açu,BR,3,Librarian,22,10,3652,6f707f54-1a93-416f-b305-093953629343,1
419,241.248.93.107,São Gonçalo do Amarante,BR,2,Speech Pathologist,45,11,3002,f0024274-d9ba-4193-87bb-25e21f940c0a,1
450,89.213.57.200,Ortigueira,BR,2,Geologist I,68,11,317,d37158eb-8663-485f-8e3e-139b0eaa0393,1
760,43.246.204.120,Novo Aripuanã,BR,1,Health Coach III,74,11,4410,64373d3a-5147-4567-a291-765df4f5d38d,1
238,178.90.52.144,Cascavel,BR,2,Assistant Media Planner,36,13,737,75b94e0b-2e3f-4d1a-be0b-716587143c98,1
285,95.211.121.105,Boracéia,BR,1,Data Coordiator,64,13,2904,91bbf44c-4159-4dc1-8ffc-f894f7cc6c33,1
612,11.225.172.88,Pentecoste,BR,4,Compensation Analyst,28,16,3274,ea998023-9c41-413c-9c8f-a8837ef5e350,1
308,73.10.55.161,Iporá,BR,4,Food Chemist,73,16,1362,3f37ee0e-7f3f-4331-860c-d7592d9ce920,1
690,145.154.62.59,Cruz Alta,BR,2,Compensation Analyst,42,21,3172,ad5c0d38-4bae-44da-905e-f2f11e9d076c,1
700,241.45.27.198,Santo Antônio da Platina,BR,3,Structural Engineer,71,24,2326,afa5458c-b3f0-4357-ad46-04556582d387,1
431,197.247.108.88,Nova Odessa,BR,2,Engineer II,35,25,3630,6997bd28-cb37-4149-a76e-033e81186b51,1
406,171.209.94.216,Santa Luzia,BR,1,Human Resources Manager,61,27,4221,c585f0cd-2d0b-4e55-9053-14cb872a8943,1
987,122.138.200.96,Muriaé,BR,4,Accounting Assistant IV,49,28,4783,97855e87-32f7-4eab-92d8-26f078fc3b68,1
27,97.51.192.204,Ribas do Rio Pardo,BR,2,Software Test Engineer III,69,29,31,069373a3-1149-4e39-b168-eb85bda8ce50,1
114,196.208.70.235,Tapera,BR,2,Business Systems Development Analyst,40,33,4169,7a7debe2-a2ed-41db-b22c-dd7d19ca8b22,1
132,33.121.12.1,Itatinga,BR,1,Research Assistant IV,67,36,3301,1b08d330-3081-4faf-95e8-1c4c90176e52,1
878,58.213.245.132,Diamantino,BR,2,Graphic Designer,59,37,500,e41d2d7f-a9be-4db6-9073-509782a65c6d,1
584,111.61.90.203,Paranavaí,BR,1,Graphic Designer,52,40,2005,3919f5bc-2112-4605-b875-0d4e2585b097,1
619,243.233.215.169,Buritama,BR,1,Food Chemist,46,41,3523,d538528c-d9c8-4826-b506-4dca218130db,1
527,119.55.186.101,Paracatu,BR,2,Senior Financial Analyst,53,43,771,7145267b-0561-402f-9c48-d68fcf99ffc1,1
919,228.132.51.43,Colatina,BR,2,Executive Secretary,35,44,4513,3ad8ad24-f39a-4e45-b999-214a0e165a7e,1
321,190.17.76.250,Américo Brasiliense,BR,1,Editor,26,49,3449,98efda85-b54f-416a-9837-777176b7e4f7,1
246,61.122.149.125,Petrópolis,BR,2,Community Outreach Specialist,76,53,4478,db3a1d77-b72d-45d0-8871-0a6ac712e4fb,1
633,201.141.63.49,Bragança,BR,1,Software Test Engineer II,51,54,1170,e4be56a6-08a7-4466-98c4-484382a3c753,1
158,97.118.180.142,Maracaçumé,BR,1,Mechanical Systems Engineer,21,58,1526,b9e777db-f307-48c2-bfd8-431177e14847,1
495,186.143.225.210,Pitanga,BR,4,Environmental Tech,69,58,50,f37eb67a-6056-433d-849d-a3b6750be447,1
553,31.47.206.35,Barão de Cocais,BR,1,VP Marketing,67,59,3632,d222d015-9c29-47bf-94c1-49bde3b4cf45,1
509,74.144.58.1,Registro,BR,2,Associate Professor,42,60,1763,ebc2d835-20bf-4fae-901d-8a0f85267fb9,1
543,77.127.26.91,Nova Viçosa,BR,1,Information Systems Manager,40,65,1096,b70e34a6-000b-4892-bc0e-760eb533f809,1
508,44.243.170.245,Angra dos Reis,BR,5,Structural Analysis Engineer,54,65,4046,6243f58a-3dda-415e-9816-9f8edf0d112b,1
480,34.197.219.29,Itajubá,BR,1,Nurse Practicioner,68,66,4360,415df7cb-a8ba-410d-9bce-86f70df1174d,1
40,49.215.136.182,Paraisópolis,BR,1,Payment Adjustment Coordinator,60,67,4004,1ba3827f-8dad-44bf-b5ac-29df791cdc62,1
820,56.252.49.165,Pinhais,BR,5,Biostatistician IV,58,69,2498,edc7e07e-b8ae-4754-96b6-90fcf1fc5bf7,0
266,74.71.232.38,Caratinga,BR,1,Structural Analysis Engineer,24,70,3289,8526b483-9e55-46e8-b0f3-472262be0609,0
567,96.156.136.106,Caieiras,BR,1,Speech Pathologist,45,72,2437,6238c942-d4a4-4c56-a098-a4502af7ff8a,0
825,96.71.251.54,Floriano,BR,1,Tax Accountant,57,73,2619,55cdcf42-6610-4cdd-ba9b-5737aec4b58a,1
564,17.191.32.101,Ha,BT,2,Quality Engineer,74,20,3646,35686cfc-445a-4430-99cc-a9beffe868c5,1
258,126.172.1.72,Mmathubudukwane,BW,6,Software Engineer I,51,42,1001,f4f3b08d-9cba-4dca-9cd0-f1d100f66444,0
927,1.78.52.34,Lahishyn,BY,1,Software Test Engineer IV,29,17,975,a3e4fa61-00fd-4a31-883b-3faac02f2005,0
530,48.175.83.225,Lyozna,BY,2,General Manager,70,33,2578,8b838480-cefe-442a-83c5-09cd4fc3616d,1
981,119.199.15.164,Kastsyukowka,BY,1,Associate Professor,60,42,4901,432831d9-2f25-4b90-96bc-e0faed8b1d90,1
249,214.74.224.224,Nipawin,CA,2,Structural Engineer,36,7,3527,a470f7f9-992b-473d-8660-69c1fbacc030,1
937,196.122.107.45,Biggar,CA,1,Analog Circuit Design manager,43,7,3134,8fb3f86e-540a-406a-9e06-37aabb089a0f,1
806,44.42.174.207,Toronto,CA,3,Tax Accountant,66,15,4078,3914c4ee-e0ca-4820-9ec9-677ee23f569d,0
176,189.33.168.239,Martensville,CA,2,Administrative Officer,54,22,2630,727f6b0c-5dbb-4fcb-b210-7ef68ba23db2,0
43,46.175.179.46,Sainte-Agathe-des-Monts,CA,1,Chief Design Engineer,62,30,917,07964f7c-c945-4902-bbd0-e02fddcb70d0,0
203,248.197.51.58,Saint-Jérôme,CA,1,Internal Auditor,60,31,4733,c6625936-3f50-4d2e-9f58-12cce16c0abb,1
793,108.34.223.41,Nicolet,CA,1,Pharmacist,29,46,3850,fb37ea74-ca0f-47d7-a2e8-135cee39abe5,0
1000,155.84.168.50,Spirit River,CA,2,Safety Technician IV,42,54,4021,0eab0290-ba5c-4a5b-9541-ffa87c79dc7b,1
868,152.77.63.100,Jonquière,CA,1,Senior Sales Associate,46,64,1366,3b53f44a-4cc6-4610-94bb-fb7463f9ce34,0
880,36.150.83.124,Madingou,CG,1,Financial Analyst,24,6,2195,a0b63082-1953-4229-8050-7e7e0abe964f,0
131,205.80.102.34,Kayes,CG,1,Developer II,37,53,1698,fa753844-aae0-4de1-a28e-5b8a01a13535,0
96,254.7.7.216,Talcahuano,CL,1,Actuary,36,12,4306,03a13a0a-d2de-4365-9538-e75675ac8e9e,0
939,252.137.48.224,Vallenar,CL,1,Structural Analysis Engineer,41,15,1087,66ca15c3-bef1-47eb-afd8-a2dc8a1d3794,0
575,28.8.150.231,Monte Patria,CL,2,Web Designer III,19,45,2570,e18f09d2-bccb-469b-9b0d-7ba731e89730,0
338,246.107.93.16,Da’an,CN,4,Librarian,35,2,669,e25587db-837c-45e9-87c7-2052f7c0072b,1
731,109.136.67.124,Zhaizigou,CN,2,Programmer Analyst III,55,3,1721,d1c99531-11d7-4510-b53b-ab4e5d6e1d76,1
556,162.123.31.155,Luwu,CN,1,VP Sales,58,3,3703,b3954b23-8af7-4f41-9c22-2c9e9c339684,0
905,165.13.233.226,Chengnan,CN,2,Assistant Manager,72,3,1050,c9128b11-e7f2-477a-aef0-002d0c1d72b8,0
197,105.88.247.41,Gucheng,CN,1,Associate Professor,27,4,2670,13afc0c4-aa31-4657-9ac4-9822dc7bfb06,0
974,156.254.107.169,Xiaqiao,CN,2,Safety Technician I,36,5,2789,033d296a-bdfa-4f6f-997d-a1c5eea583cb,1
125,219.235.122.106,Baiyun,CN,1,Mechanical Systems Engineer,74,5,4705,89fe4d9c-775f-43d2-9a92-3293fb12a247,1
582,68.101.140.29,Jiulong,CN,3,Senior Financial Analyst,75,5,2186,2f10b6b1-4d7a-49ec-9ba5-897a1c8ecd5f,1
485,53.236.127.18,Menggusi,CN,1,Assistant Media Planner,28,6,4155,c418c8e3-174d-4032-9dbe-49aeb39aa548,0
191,187.199.89.26,Yongchuan,CN,3,Technical Writer,24,7,1293,274b0ad6-df17-4359-9b25-219f23614443,1
891,229.109.118.185,Xinjian,CN,2,Nurse Practicioner,23,8,2480,d1e22e25-bd9a-483d-a048-10b19491e293,1
614,78.48.82.115,Huanxi,CN,2,Health Coach I,39,8,195,394e8eb5-e386-4df2-8fd4-1f6b969852b9,1
137,82.217.255.228,Xinjian,CN,1,Project Manager,66,9,833,2a340ca0-0ea7-41e3-a5d6-ddeb211e18ee,1
3,144.98.108.249,Funan Chengguanzhen,CN,1,Internal Auditor,68,9,4633,2bd4fb97-14e5-4a15-b4a4-90c26b275704,1
56,139.52.129.162,Tangzha,CN,2,Senior Editor,46,11,3035,5679cea7-f82a-456c-9f02-fb62db72bc84,1
609,169.64.32.46,Baizhu,CN,1,Compensation Analyst,71,11,3136,8af5af78-4d54-432f-a545-66df77588bea,1
643,173.232.176.112,Shixiang,CN,1,Geological Engineer,74,11,4619,e93ec851-21a1-4841-bc6c-4a01b3e87e62,1
910,85.97.6.215,Mulan,CN,2,Engineer IV,75,11,2583,a99d57bc-d12d-4b50-b226-d1f3c26c2025,1
86,145.244.85.152,Heqiao,CN,1,Recruiting Manager,23,12,1866,0686b4a9-03de-4adc-88a0-a12c51b94604,1
651,217.48.201.162,Gonghe,CN,1,Project Manager,43,12,1254,ec3270da-eb7b-4274-99a6-ff485bfc9978,1
236,33.124.28.38,Dianqian,CN,7,Dental Hygienist,48,12,203,e0fe2efe-285e-4e13-b465-07949c6437cb,1
366,142.13.230.233,Xiaopu,CN,1,Librarian,36,13,84,81d9b633-a839-4b71-a794-db517d30ed2a,1
365,168.26.169.107,Yushanpu,CN,1,Associate Professor,60,13,1937,3cc27125-10c5-4e78-85c3-7e9d986e74b8,1
900,254.21.52.47,Shidong,CN,4,Help Desk Operator,26,14,3287,7595ee21-d827-437a-81e9-53a804738c6e,1
979,118.97.102.133,Sanhui,CN,3,Registered Nurse,67,14,3252,5d4cbaa7-5218-41d2-bf0d-5c7388c1c4c3,1
257,179.97.2.95,Guifeng,CN,8,Senior Editor,21,15,930,847b6a93-9129-425a-bad6-3a5cbb2d5bee,1
241,89.184.121.44,Yunlong,CN,1,Software Test Engineer IV,29,15,320,4616fbb7-2279-41d3-bd32-a19ff25b3f93,1
126,253.145.59.102,Kambaxoi,CN,1,Product Engineer,32,15,1591,d8638b0c-bed3-448b-9bd5-48c564995da8,1
4,157.210.185.59,Tangyin,CN,1,Administrative Officer,76,15,2667,27668eba-f80c-439e-bd3e-63b28dfab9c9,1
61,161.41.25.38,Weitian,CN,2,Staff Scientist,46,16,3444,a99fa1e9-56d2-46c4-bd53-f5919cd542fe,1
714,95.111.4.201,Kunyang,CN,3,Junior Executive,48,16,1592,9a4563d3-60a9-4b60-870d-bea77d1894b5,1
5,23.214.8.39,Yicheng,CN,1,Assistant Professor,60,16,707,f74ce114-ec52-48e5-920c-be5d03984148,1
167,187.15.81.132,Shaozhai,CN,3,Senior Developer,33,17,3436,8433656d-f9de-4079-aafd-92f742a3383a,1
667,75.56.159.240,Xagmakajor,CN,2,Database Administrator III,27,18,794,9c2aeb51-1343-433f-ad1e-e22b990d2a7c,1
28,171.118.244.1,Youzai,CN,4,Senior Editor,32,18,4929,19c0b09f-1e3f-48c6-95d2-6e6f2fb1bf2c,1
624,20.41.8.234,Huilong,CN,1,Health Coach II,51,18,2144,64393d5e-d93e-4df0-95b8-ebb33ad01f05,1
75,61.104.32.81,Tiandeng,CN,1,Business Systems Development Analyst,59,19,1667,a83f878e-b1d7-41d8-b716-720f010bfa23,1
397,6.95.49.201,Akebielidou,CN,3,VP Accounting,22,20,2669,2130b8f7-9565-4837-82f0-1a4b961cbb9e,0
498,149.25.247.241,Dongmazar,CN,2,Statistician III,31,21,4608,07297f84-24c7-4349-88d3-58c4bac6e122,0
504,102.229.18.165,Changtang,CN,1,Marketing Assistant,40,21,4776,54794c14-7368-48a2-98b8-f32e45e7a3fe,0
20,233.175.225.78,Niandou,CN,2,Account Representative IV,65,21,1784,f7c51187-d290-4780-a255-50204116f7df,1
708,248.221.53.20,Nanqiao,CN,3,Database Administrator II,69,21,3139,e48e4a2a-9fa2-4c7b-ba49-a57af9bb377f,1
954,99.216.222.253,Zhongshan,CN,2,Analog Circuit Design manager,46,23,1818,efbc58b9-fd8f-4a32-b5b8-6f20ac3420ff,1
852,190.248.197.239,Jiayi,CN,2,GIS Technical Architect,66,23,477,a75d2650-ea77-406e-89d9-4a2b73a553e1,0
420,136.126.13.67,Lingbei,CN,1,Civil Engineer,23,24,4527,bee3e1d1-ad50-4322-91de-44abc97bc427,0
948,199.21.69.19,Tong’an,CN,1,GIS Technical Architect,69,24,4353,cd01f9b3-1682-4ef3-8393-c2602213d7a2,0
799,208.40.28.161,Banxi,CN,3,Pharmacist,35,25,3170,c73dcf39-4337-4a9b-b078-202f13698d75,1
405,98.2.114.96,Xinkai,CN,1,Senior Editor,47,25,267,141e7801-ff07-4000-bcfc-feb7c08a1b92,1
81,108.218.149.167,Yangjiaqiao,CN,1,Senior Editor,59,25,4916,49873fbf-75f0-4545-b946-0688dd03875b,1
756,210.21.40.196,Huashi,CN,2,Account Executive,45,26,2857,3c458224-cf83-47e5-8050-a43ce84f4315,1
823,251.150.75.126,Guandian,CN,1,Senior Editor,36,27,515,eab80b2b-ae0d-461c-8d96-e7a91b283657,1
638,187.16.234.6,Duoxiang,CN,1,Recruiting Manager,62,27,3157,458aa49c-bdcb-4e8d-8c4e-4c5f7c552070,1
980,60.164.244.36,Huji,CN,1,Geological Engineer,40,28,4557,b3f7f3a2-e7a8-4ec3-9e91-290afa39e842,1
57,9.3.14.160,Fuxing,CN,2,Dental Hygienist,48,28,977,d393d86c-60c0-440b-a6f2-387800e765ce,1
950,66.247.196.249,Yangjinzhuang,CN,8,Operator,69,28,2324,f940a722-4327-4317-938f-2de1953b38bf,1
536,7.179.154.46,Marxog,CN,1,VP Accounting,21,29,3132,914d3b01-7250-4006-8f61-edd13f3f0c91,1
906,252.118.156.14,Nanhuatang,CN,1,VP Quality Control,27,29,2549,c4e6a087-4f0b-4eb1-b293-0fcacf7bcbbd,1
267,228.144.107.197,Shanghang,CN,2,Administrative Officer,34,29,762,2d081dd6-1322-492e-bdda-f28ff3c86d45,1
904,175.112.27.177,Longgang,CN,1,Cost Accountant,35,29,479,9f2fc274-3d97-4f67-987f-d72088cc04c0,1
437,208.219.5.24,Wulan Hada,CN,1,Product Engineer,43,29,1807,e466d3b0-5d78-44fa-8540-3b069f2a8b15,1
343,61.191.233.152,Shangyi,CN,1,Business Systems Development Analyst,45,29,563,d6616c91-42a0-4989-b65f-c644c6a8fe18,1
580,206.107.169.66,Chixi,CN,1,Analog Circuit Design manager,53,29,890,43b98167-7537-4143-9feb-da066ad6b14f,1
398,188.77.13.244,Liangdang Chengguanzhen,CN,1,Nurse,26,30,2040,77c4f31d-3d53-4a73-970d-6ea3405b94d4,1
842,182.116.178.146,Shuhe,CN,1,Senior Developer,55,30,1455,74865f17-937e-4547-8d41-13c4cffca3c1,0
639,31.161.6.167,Nixi,CN,1,Professor,23,31,2992,bb3067cb-98f6-4918-b569-a0bf13765723,0
243,237.211.238.19,Zhayang,CN,1,VP Quality Control,40,31,2960,703b03fa-e9ab-458b-ad23-d138114bc213,0
686,220.175.54.34,Qujing,CN,2,Software Consultant,57,32,4641,ec21dd0c-a935-4f15-874b-7ca26758eebf,1
189,251.129.166.233,Xianren,CN,2,Software Consultant,59,32,1516,6ec2b158-84af-4497-a5f8-a2baa8cda78d,1
444,249.104.249.52,Nawu,CN,1,Sales Representative,71,32,3178,211c38b3-c04d-4830-8d61-80a18927b82b,1
102,131.33.44.30,Usu,CN,1,Software Engineer III,31,33,3526,7c823c22-4cff-4960-bf4f-ab2f6ebe3ca8,1
275,19.149.1.164,Huangyuan Chengguanzhen,CN,1,Electrical Engineer,34,33,2314,7f58de91-6899-4c84-8b79-229a4009f1df,1
786,103.88.186.157,Hetian,CN,1,Health Coach III,56,34,4606,8f0df5a6-0760-402b-ba36-e66eed5d7682,1
557,100.222.13.103,Jiefang,CN,1,Geological Engineer,28,35,2687,301c4154-2b84-4a3d-8f7f-326f5407e1f6,1
316,95.7.126.136,Zhijin,CN,1,Environmental Tech,36,35,2093,a742efdc-a9da-47f7-9da9-5e4ddeccebe8,1
124,114.5.58.31,Zhouxi,CN,1,Assistant Professor,67,35,3090,18a7b477-1e69-46b1-b1e7-4437ee57a9f9,1
399,144.70.98.145,Chendong,CN,1,VP Sales,19,36,146,fb595931-c367-4845-95fb-393e9c1cb6f1,1
570,89.100.234.134,Yangmiao,CN,2,Project Manager,51,36,4032,af5057d2-136d-4f30-ad4f-cf980cdae038,1
451,158.37.185.24,Liuqu,CN,1,Teacher,19,37,3884,c9bfae89-737c-4a15-b436-46022f55f024,1
682,0.210.30.91,Xin’an,CN,1,Research Associate,49,37,4690,1b089521-f939-4692-b5fc-383cbe359bed,1
946,133.18.67.193,Wuyang,CN,1,Systems Administrator I,59,37,4383,82a888dc-baff-4f69-8aee-f42607e08148,1
568,212.88.70.171,Zhuxi,CN,2,VP Marketing,43,38,196,14396f70-0570-4250-be27-8e55b4db812e,1
989,232.169.40.96,Lancheng,CN,5,Business Systems Development Analyst,43,38,1218,1ef6307e-29e1-4253-88a7-f8e492fe7e47,1
207,7.39.104.23,Guankou,CN,1,Web Developer III,62,38,1632,e8e8bf99-fc65-472f-9311-617cc9ba9245,1
439,5.215.107.138,Yongfeng,CN,4,Product Engineer,25,39,2693,c456356e-b70f-4b46-881b-0fdfd88c3213,1
695,33.80.194.43,Qinhong,CN,2,Human Resources Assistant II,28,39,4365,8236935d-2c84-4684-b167-fa2581838866,1
795,237.193.82.109,Mayong,CN,4,Research Nurse,40,39,1348,5c4a78b2-ff41-4c73-913a-2cb60ece25cb,0
594,146.116.248.48,Weizheng,CN,2,VP Quality Control,54,39,2950,7208eacc-bed4-45f9-8d8c-60fdcdca2776,0
264,17.111.9.31,Erhe,CN,1,Food Chemist,63,39,1134,4279d704-d08e-4f60-aa61-47903e8ebfd1,0
299,251.216.237.3,Fengping,CN,2,Environmental Tech,68,39,3812,f7ef2f4a-2464-433a-9b1b-a0654ac03c31,0
566,10.89.108.223,Mingjing,CN,2,Internal Auditor,72,39,935,5aa57792-a1b3-46e9-8ff3-9c80fd39d7c0,0
800,183.12.255.190,Qinjiang,CN,1,Mechanical Systems Engineer,45,40,2846,6effbeba-8573-4582-af94-f3619e47992c,0
977,202.246.182.57,Gonghe,CN,1,Software Consultant,58,40,774,e216a36b-5854-4ba6-a3f0-c6b05a1d9eda,0
862,255.160.119.138,Huangshi,CN,1,Payment Adjustment Coordinator,65,40,3307,8462448a-3efb-4a48-9256-85a30a5756a1,0
672,2.197.96.198,Jiaowei,CN,1,Environmental Specialist,74,40,287,8ef8ef7d-74bc-46b2-a715-083a5b9ab995,1
270,199.42.126.105,Anren Chengguanzhen,CN,4,Structural Engineer,44,41,783,59f8277a-8f50-4225-a4d8-6da5835a2c79,0
856,62.22.192.188,Xiaoyangqi,CN,3,Accounting Assistant II,45,41,1500,fe19af33-188c-4ad8-9d2f-b75d5eaee99d,0
